agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Kondition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,0,0,0,0,1,,,2,1,2,2,2,True,False
2,0,0,0,0,0,,,2,1,2,2,3,True,False
3,0,2,0,0,0,,,3,2,1,3,1,False,True
4,0,1,0,0,1,,,1,3,3,2,3,True,False
5,2,0,0,0,1,,,3,3,1,2,1,True,False
6,0,0,0,0,1,,,1,1,2,2,2,True,False
7,0,1,0,0,0,,,2,1,3,3,3,False,True
8,0,0,0,0,0,,,1,1,3,3,1,True,False
9,0,2,0,0,0,,,2,2,2,1,1,True,False
10,2,1,0,0,0,,,2,2,1,1,2,False,True
11,0,0,0,0,0,5,10,1,1,1,0,0,True,False
12,0,0,0,0,1,10,5,1,1,1,0,0,True,False
