agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,0,0,0,0,0,,,3,1,2,3,1,False,True
2,0,1,0,0,0,,,3,1,1,2,3,True,False
3,0,1,0,0,6,,,3,3,1,1,3,True,False
4,0,0,0,0,7,,,1,1,3,3,3,False,True
5,0,1,0,0,8,,,1,3,1,2,3,False,True
6,6,0,0,0,14,,,3,1,2,3,2,False,True
7,0,0,0,0,17,,,1,1,3,3,2,False,True
8,1,0,0,0,17,,,2,3,1,3,3,True,False
9,0,2,0,0,0,,,1,3,3,3,3,False,True
10,0,0,0,0,16,,,3,3,2,1,2,False,True
11,0,0,0,0,18,,,1,1,2,3,2,False,True
12,0,2,0,0,3,,,2,3,3,3,3,True,False
13,7,0,0,0,14,,,3,3,2,2,2,False,True
14,0,1,0,0,0,,,1,1,3,1,2,False,True
15,2,0,0,0,11,,,3,1,3,1,2,True,False
16,0,0,0,0,0,,,1,1,1,2,3,True,False
17,0,0,0,0,0,,,1,2,2,3,2,False,True
18,0,0,0,0,8,,,3,1,3,1,2,False,True
19,2,1,0,0,0,,,3,1,2,3,1,False,True
20,0,0,0,0,12,,,3,2,3,2,1,False,True
21,0,0,0,0,17,8,13,1,1,2,1,1,False,True
22,0,0,0,0,12,13,6,1,0,2,1,1,True,False
23,0,0,0,0,13,6,13,1,0,2,1,1,False,True
24,0,0,0,0,2,13,6,1,0,2,1,1,True,False
25,0,0,0,0,0,6,13,1,0,2,1,1,False,True
26,0,0,0,0,0,13,6,1,0,2,1,1,False,True
27,0,0,0,0,1,6,13,1,0,2,1,1,True,False
28,0,0,0,0,0,15,19,1,0,3,0,0,False,True
29,0,0,0,0,7,19,15,1,0,2,1,0,True,False
