Number, Tribe, Condition, Visibility Range, Metabolism, Intelligent, Aggressive, Covered Distance, Reproduction Counter, Consume Counter, Sickness Counter, Parent A, Parent B, Position, Expelled
1,3,3,3,2,False,True,1,0,0,0,,,"(0, 6)",0
2,1,3,3,2,False,True,1,0,0,0,,,"(1, 3)",0
3,1,3,1,2,True,False,1,0,0,0,,,"(7, 4)",1
4,1,3,1,3,True,False,1,0,0,0,,,"(9, 3)",0
5,2,2,2,3,True,False,1,0,0,0,,,"(0, 2)",1
6,1,3,3,2,False,True,1,0,0,0,,,"(3, 0)",0
7,2,1,1,1,False,True,1,0,0,0,,,"(9, 7)",0
8,1,1,3,3,False,True,1,0,0,0,,,"(4, 6)",0
9,3,2,3,3,True,False,1,0,0,0,,,"(5, 6)",1
10,3,0,3,2,False,True,1,0,0,1,,,"(0, 5)",0
